ENGLISH,bodo
"A pleasant town with comparatively slow pace, Agra is known for its superb inlay work on marble and soapstone by craftsman who is descendant of those who worked under the Mughals.","गोजोनथाव नोगोर आग्राखौ मार्बल आरो फिस्ला अनथायाव मनि मुकुटा दानखʼनाय खामानिनि थाखाय मिथिनाय जायो, बे लुथाय खामानिखौ जाफुंहोदोंमोन मुगलनि सुङाव खामानि मावग्रा आखा फाखा मुसुखांगिरिफोरा।    "
Agra was once the capital of the Mughal empire and even today it seems to linger in the past.,आग्राया मुगल राजफोलेरनि मोनसे राजथावनिमोन आरो दिनैसिमबो बेयो गोदोनि जौगानायखौ दिन्थियो।
"Not surprising, for the Mughal emperors with their passion for building, endowed the city with some of the finest structures in the world.","बे गोगाथाव नङा, मगल राजफोलेरनि लुबैनाय बायदियै नʼ बांलाफोर, नोगोरा बुहुमनि साबसिन दाथायजों बुंफबनाय।"
It is very easy to slip away here through the centuries into the grandeur and intrigues of the Mughal court.,जौथायनि गेजेरजों मुगल खुंथायनि जोगा-मागा आरो गोबाब खान्थिनिफ्राय गोरलैयैनो बारलांनो हायो।
"Agra is an old city and it is said that its name was derived from Agrabana, a forest that finds mention in the epic Mahabharata.","आग्राया गंसे गोजाम नोगोर आरो बेखौ बुंनाय जायोदि बे मुंखौ आग्राबान्दानिफ्राय लानाय जादों, गिदिर सलनथायमा बिजाब महाभारताव बे बाथ्राखौ मखʼनाय नुनो मोनो।"
In more recent times Agra came into prominence when Sikandar Lodi made it his capital city in 1501.,जेब्ला सिकन्दर लडिया 1501 मायथायाव गावनि गिदिर नोगोरखौ बानायो अब्ला थाबैनो आग्राया मुंदांखा जाबोनो हमो।
The Lodi rule was to end very soon and Agra passed into the possession of the Mughals.,लडिनि खुंथाया थाबैनो जोबस्रांलांदोंमोन आरो आग्राया मुगलफोरनि आखायाव थांदोंमोन।
It was during the time of the third emperor Akbar that Agra came into its own.,बै समावनो आग्राया थामथि राजा आकबरनि आखायाव फैदोंमोन।
Akbar embarked on the construction of the massive Agra Fort in 1565.,1965 मायथायाव आकबरा गिदिर आग्रानि खरंखौ लुदोंमोन।
"Agra continued to retain its importance and Shah Jehan, Akbar's garndson ornamented the city with that masterpiece of Mughal architecture the Taj Mahal and built several other beautiful buildings within the Agra fort .",साहा जाहाना जेब्लानो आग्रायाव गावनि गोनांथिखौ लाखिबोदों आकबरनि फिसौज्ला साहाजाहाना नोगोरखौ समायखांहोदोंमोन गाहायै टाज महल आरो खरं सिङाव थानाय समायना नʼ-बांलाफोर।
"Inside The Taj Mahal the Cenotaph of Mumtaz Mahal stands in the centre of the marble screen, it has inscribed on it in Persian with texts from the Koran.",टाजमहलनि सिङाव ममताजनि गोसोखांथिया मारबल अनथायजों दाजानाय। बे बाथ्राया रोखायै पारसियाननि करानाव लिरनाय दं।
"Above the tombs is a Cairene lamp, the flame of which is supposed to never burn out.","खाम्फानि सायाव केरिन लेमथन दं, जायनि जोंनाय अर सालाया जोबनो रोङै बायदि जोंबाय थायो।"
"Above the tombs is a Cairene lamp, the flame of which is supposed to never burn out.","खाम्फानि सायाव केरिन लेमथन दं, जायनि जोंनाय अर सालाया जोबनो रोङै बायदि जोंबाय थायो।"
"The interior of the mausoleum comprises a lofty central chamber, a crypt immediately below this and four octagonal corner rooms originally intended to house the graves of other royal family members.","बे मुंख्लं खामफानि सिङाव दं गोजौ थाखोनि मिरुवारि खथा, बेनि सिङावनो दं गंसे हा सिंनि खथा आरो मोनब्रै दाइनथि खनायारि खथा दं, जाय गुबुन राजफोलेरनि सुबुंफोरनि थाखायमोन।      "
In the centre of the Taj Mahal there are the cenotaphs of Shah Jahan and Mumtaz Mahal.,ताज महलनि मिरुवाव साहजाहान आरो ममताजनि मुंख्लं खाम्फा दं।
Shah Jahan's cenotaph is to the left and is higher than that of his beloved which rests immediately below the dome.,साहजाहाननि सोगोखां खाम्फाया गावनि अनजालिनि आगसिथिङै आʼ जौसिनै दं जायखौ हरखाबै दालाननि सिङाव दोननाय जादों।
The acoustics of the building are superb with the domed ceiling being designed to echo chants from Koran and musician's melodies.,कराननि मेथाइखनगिरि आरो गोदै देंखोगिरिफोरनि समायना दालानाव रिंखांनाय सोदोबा बिलडिंनि सोदोबखौ गोमोथाव खालामदों।
"It is suggested that one walk around the outside of the tomb, before retrieving your shoes, to appreciate it from all sides.",बिखौ थांखि दैखांना होनाय जादोंदि नोंनि जुताखौ लाफिननायनि सिगां गोसोखां खाम्फानि सोरगिदिं बाहेराव थाबायनाया गासै बिथिंनिफ्रियानो बाखनाय जाथाव।
"Taj Mahal Location in the mid16th and earlier 17th centuries, Agra witnessed a frenzied building activity and it was during this time that the symbol of love, the Taj Mahal, was built.","गेजेर 16 आरो गिबि 17 जौथायाव टाज महला गायसन जादोंमोन, जोबोर गोनो गोनां नʼ बांफोरखौ रोखा खालामो आरो बै समावनो अननायनि नेरसोन टाज महला लुजादोंमोन।"
The buildings made during mid16th and earlier 17th centuries were purely in the contemporary Mughal style and of very high quality.,जिडʼ जौथायनि गेजेर आरो जिस्नि जौथायनि गिबियाव लुनाय बिलडिंफोरा रोखायै मंगल महरनिमोन आरो जोबोर मोजां गुण गोनांमोन।
The buildings made during mid16th and earlier 17th centuries were purely in the contemporary Mughal style and of very high quality.,गेजेर 16 जौथायाव आरो गिबि 17 जौथायाव लुजानाय नʼ बांलाफोर थारैनो सोलिबाय थानाय मगफोरनि नेमखान्थि बायदियै लुजानाय आरो गोजौ माननि।
"Agra, the city of the Taj Mahal and once the capital of the Mughal Empire, has several monuments which display the splendour of Mughal architecture.",ताज महलनि नोगोर आरो मोनसे समनि मंगल रायजोनि राजथावनि आग्राया खायफा आलगा गोसोखां खाम्फाफोर दं जाय खाम्फाफोरा मंगलफोरनि लुनाय आदबनि बाखनायजाथाव नेरसोन दिन्थियो।
"It was Agra that Babar, the founder of the dynasty, had the first formal Persian garden laid out on the banks of the river Yamuna.",आग्रानि जमुना दैमानि फाराव दायनासतिनि गायसनगिरि बाबरआ गिबियै बानायनाय नेमखान्थिगोनां बागान दंमोन।
"Akbar, his grandson, raised the towering ramparts of the great Red Fort, within whose walls Jahangir built rose red palaces, courts and gardens, and which Shahajahan embellished with marble mosques, palaces and pavilions of gem inlaid white marble.","आकबर, बिनि फिसौला गेदेर लालकिल्लायाव गोजौ गिदिर इन्जुर बानायनो जागायदोंमोन, जायनि गेजेराव जाहांगिरा गोजा गलाप राजृथावनि बिजिरसालिफोर आरो बिबारबारिफोर बानायदोंमोन आरो जायखौ साहाजाहाना मार्बल  मजजिद राजथावनिफोर आरो गिदिर गेलेग्रा नʼ बेसेन गोनां गुफुर अनथायजों गहेना बानायदोंमोन।"
"Agra is mentioned in the ancient epic Mahabharata as Agraban, the sister city of the more prominent Mathura.",आग्राखौ गोजाम सलनथायमा महाभारताव मथुरानि मोजाङै मिथिजानाय उन्दै नोगोर आग्राबन होनना मखजायो।
Agra was established in 1475 by Badal Singh and came into its own when Sikander Lodhi of the Lodhi dynasty chose it for his capital because of its proximity to the Yamuna.,आग्राखौ 1475 मायथायाव बादल सिंहआ गायसनदोंमोन आरो गावनो गाव नुजाथिदोंमोन लडि फोलेरनि सिकन्दर लधिया बेखौ दैमानि खानि जानायनि थाखाय राजथावनि महरै सायखनायनि थाखाय।
Babar defeated the Lodhis to capture not only Agra but also to lay the foundation of the Mughal Empire.,बाबर लडिफोरखौ आग्राखौ दखल खालामनायनि थाखायलʼ फेजेनाखैमोन लोगोसे मुगल रायजोमा फसंनायनि थाखायबो।
"On the banks of river Yamuna, raises the crescent like Agra Fort.",जमुना दैमानि रुगुंआव आग्रा खरंबादि खेंख्रा खेंख्रि रैखाथि होग्रा बेंजानाय जाखांबोदोंमोन।
Designed and built by Emperor Akbar in 1565 A .D. the fort is surrounded by a 70 foot high wall.,1965 ए.दि.आव समराट आकबरजों साजायजानाय आरो लुफुंहोजानाय खरंङा 70 फुट गोजौ इन्जुरजों सोरगिदिं साग्लोबनाय।
"Agra Fort houses the beautiful Pearl Mosque and numerous palaces including the Jahangiri Mahal, Khas Mahal, DiwaniKhas, DiwaniAm, Machihi Bhawan and Moti Masjid.","आग्रा खरंनि नफोरा समायना मुक्टा मजजिद आरो गोबां अनजिमानि राजउलाफादफोर जाहांगिरि मलʼ खास महल, दिवान-इ-खास, दिवान-इ-आय, मासिनि नमा आरो मति मजजिद दमफानायमोन।"
The Agra Fort has four gates and is enclosed by a double battlemented wall of red sand stone.,आग्रा खरंङा मोनब्रै दरजा दं आरो गोजा बाला अनथायनि मोनसे जरा लगायनाय दावहाबेरा इन्जुरजों खोबजानाय।
Mosques of Taj Mahal on either side of the Taj Mahal are buildings of red sandstone.,ताज महलनि फारसे सायेतजों थानाय ताज महलनि मजितफोरा गोरजा बाला-अनथायजों लुनाय।
"Before we have a look at the mosque, let us take note of a small stone enclosure along the western boundary wall where the well of the Mosque is located.",जों मजितखौ नायनायनि सिगां सोनाब सिमा बेराथिंजाय थानाय फिसा अन्थायजों बानाय बेराखौ नायग्रोनांगौ जेराव मजितनि बेराखौ गाधिनाय जादों।
"This greenery shaded structure, measuring 19 ft by 6. 5 ft marks the site where the remains of Mumtaz Mahal were deposited when first brought to Agra.",सोमखोर सादा प्राय 19 फुट गोजौ आरो 6.5 फुट गुवार ममताज महलखौ आग्रासिम लाबोनायनि उनाव गिबियाव बे जायगायावनो राखिनाय जादोंमोन।   
The platform in front of the Mosque is of red sandstone.,मजितनि सिगाङाव थानाय बैसाङा गोरजा बाला अनथाइनि।
A highly polished small marble piece is so fitted that it serves as a mirror and one can see the mausoleum reflected in it.,जोबोर मोजाङै ब्राजजों साफा खालामनाय फिसा मारबल थुख्राया एरैबायदि मोजांदि बियो मोनसे आयना बायदि जोङो आरो गेदेर गोसोखां खाम्फानि मोदाननायखौ बियाव नुनो मोनो।
The roof of the Mosque supports four octagonal towers and three elegant domes.,मजितनि सायाव मोनब्रै दाइनखनायारि दालान आरो मोनथाम समायना दालान दं।
The roof of the Mosque supports four octagonal towers and three elegant domes.,
The story of Taj Mahal is inseparable from the life of Mumtaz who was the chief queen of Shahjahan.,ताज महलनि सलʼखौ ममताजनि जिउखौरांनिफ्राय आलादा खालामजाया जायोखि साहजाहाननि गाहाइ राणिमोन।
"Prince Khurram, as Shahjahan was known before he became the Mughal emperor, was a handsome twenty year old man, when he was betrothed to Mumtaz.",साहजाहानखौ मंगल राजा जानायनि सिगां राजखुंगुर कुराम होन्नानै मिथियोमोन अब्ला बियो नैजि बोसोरनि सासे समायना मानसिमोन जेब्ला बियो ममताजखौ जुलिनि रादाय खादोंमोन।
***It is said that the imperial capital of Agra was agog with the description of Mumtazâ€™s beauty at the time of the betrothal.,बिखौ बुंनो हायोदि आग्रानि फुवारथाइ राजथावनिया ममताजनि बै समनि समायनायानो हाबानि जाहोनजों फोरमाय थिजानाय।
The maiden name of Mumtaz Mahal was Arjumand Banu Begum Prince Khurram had been married twice before he met and married Mumtaz Mahal.,बिखौ बुंनो हायोदि ममताज महला गावनो गाव फिसायनि सिगाङाव खिन्थाललांदोंमोनदि गावनि गोथैसहʼ बिसनायाव इयुन जोलैनि थाखाय गावसोरनि मोनसे मोजां मोननायनि नेर्सोन सोरजिनो।
It is said that Mumtaz Mahal on her deathbed had herself asked her husband to create a symbol of their love for posterity.,"बुंनाय दङोदि, ममटाज महला गावनि थैनानै फबनाय जायगायाव गावनि फिसायखौ अनलायनायनि नेरसोनखौ जुगामियै लाखिनायनि खावलायनाय बाथ्राया रोखा दं।"
"Before the construction of Taj Mahal began, Mumtaz Mahal was given a temporary burial in the Zainabadi garden in Burhanpur for a period of six months, before the body was exhumed and brought to Agra, for the final burial.",ताज महलखौ बानायनाया जागायनायनि सिगां ममताज महलखौ बारहानपुरनि बिबारखारियाव 6 दाननि थाखाय ओरैनो सावल्फादोंमोन सिगाङाव देहाखौ सावनायनि सम हिसाबै हगारदोंमोन आरो आग्रायाव जोबथि सावनायनि थाखाय लाबादोंमोन 
Taj Mahal is a monument of love.,ताज महला अननायनि नेरसोनथि।
Taj is the pride of India.,ताजा भारतनि गोगाथाव।
The story behind Taj Mahal is also as beautiful as the monument.,ताजमहल सलनि सिङाव समायना नेरसोनथिया हाबनानै दं।
"Arjumand Banu a shopkeeper was sitting at her shop in Meena Bazar, the private market attached to the harem, when Prince Khurram saw her for the first time.",मुसलिम हिनजावफोरनि थाग्रा नजों सिथाबफानाय गंसे सरकारि नङै बाजाराव आखु मानद बानु मुंनि सासे गलादारिया मिना बाजाराव गावनि दखानाव जʼना थानाय समाव जेब्ला राजखुंगुर खुरामा बिथांजोंखौ गिरि खेबनि थाखाय नुजेनदोंमोन।
Khurram saw a piece of glass at Arjumand Banu’s  shop and asked for its worth she replied that it is a diamond and not glass.,खुरामा अरजुमान बानुनि गलायाव मोनसे ग्लासनि टुक्रा नुजदोंमोन आरो सोंदोंमोन बेनि बेसेना बेसे बिथांजोआ फिननायसैदि बियो मोनसे हिसासो ग्लास नङा।
Emperor Jahangir entitled Prince Khurram as 'Shah Jahan' and when he became emperor he entitled his wife as Mumtaz Mahal 'the chosen one of the palace'.,खुंगिरि जाहांगिरा राजखुंगुर कुरामखौ साह-जाहान बिमुंथि होदोंमोन आरो जेब्ला बियो खुंगिरि जायो अब्ला बियो गावनि बिसिखौ ममटाज महल बिमुंथि होयो बिनो राजअलाफादाव गनायथि होजायो।
"Mumtaz was very compassionate, generous and demure.","ममताजा जोबोद रोंखा राखा, गुबै गोसोनि आरो निजोममोन।"
Before dieing Mumtaz extracted a promise from Shah Jahan that after her death he would build the most beautiful building of the world as a tribute to their love.,ममताजा गाव थैनायनि सिगां साह-जाहाननिफ्राय रादाय बिखʼनानै लादोंमोनदि जाहार गावसोरनि नेरसोन महरै समायना नʼ लुनानै गालाङो।
"Sikandra Fort is the mausolumn of emperor Akbar represent his philosophy and secular outlook, combining the best of Hindu and Muslim architectures in a superlative region.","सम्राट आकबरनि गोसोखां खामफाया जाबाय सिकन्द्र खरं, बेनि गेजेरजों बिथांनि सानथौ आरो धोरोमारि नोजोर आरो हिन्दु आरो मुसलमान बुमिनसारनि साबसिन गोरोबथिखौ नुनो मोनो। "
"Completed in 1613 A .D. by his son Jahangir, Sikandra Fort is one of the well preserved monuments.",1613 ए.दि. जोबनायनि उनाव बिनि फिसाज्ला जाहांगिरा सिकानद्रा खरंखौ मोजाङै सामलायदोंमोन।
Sikandra Fort is the last resting place of the Mughal Empror Akbar.,सिकानद्रा खरङा महाराजा आकबारनि जोबथि जिराय खुलि।
"A visit to Akbar's monument opens before one, the completeness of Akbar's personality as completely as the Taj Mahal does of Mumtaz Mahal's.",आकबरनि गोसोखां खाम्फानि सेराव खेबसे थाङोब्ला आकबरनि सोमोन्दै रोखायै फोरमायो जेरै ममताजनि सोमोन्दै ताज महला।
"Akbar's vast, beautifully carved; red ochre sandstone tomb is set amidst a lush garden.",आकबरनि गुवार समायनायै दानखनाय गोजा गोमोहां बाला अनथाइ खाम्फाया गेजेराव जोंथि माथि बिबारबारिनि जथाइ।
To construct a tomb in one's lifetime was a Tartary custom which the Mughals followed religiously.,सोरनिबा जिउनि मोनसे खाम्फा बानायोब्ला मोनसे दोनथुमनाय खान्थिमोन जायखौ मुगलफोरा धोरोमनि खान्थि महरै मानियोमोन।
"Built of red sandstone, the minarets are inlaid with white marble polygonal patterns; the pleasing Proportions & Profuse surface ornamentation makes the gateways very impressive.","गोजा बाला अनथायनि बानायनाय धातुफोरा गुफुर मार्बलजों लोगोसे बांद्रायारि खान्थिजों थाफानाय, गोजोनथाव रुजुजखा आरो गोबां मोखाङारि गहेनाजों लामाया जोबोद गोसो बोनो हाथाव।"
"The gateways reflect a curious hybrid of different styles of architecture Hindu, Muslim, Christian and a patent mixture of Akbar's typical style.","दरजा मोखांनि लामानि जोंथिनाया हिन्दु, मुसलमान, खृष्टायाननि लंथायखुलिनि गुबुन गुबुन महरनि सोलोंनो लुबैनायनि गलायमोनदेर आरो आकबरनि महरनि मोनसे मोनथाय गोरोबथि गलायमोनदेर।"
"A broad paved causeway lead to the tomb, which has five storeys and is in the shape of a truncated pyramid.","खाम्फासिम मोनसे गुवार दैबारिजों साग्लोबना जानाय, जेरावनोखि दमनाय दं आरो गुसुं गुसुं हासʼजानाय फिरामिद बादि रैखाथि गोनां।"
The main tomb has a unique square design which is unparalleled by all other Mughal buildings.,गाहाय खाम्फाफोरा मोनसे गोरोबनाय बर्ग महरनि साजायनाय जायफोरनोखि गुबुन मुघल नʼफोरजों गोरोबलाया।
"The centre of the southern side is occupied by a vestibule, which has been ornamented very profusely with exquisite carvings, artistic paintings & inlay work in geometric and floral designs.","मिरुनि खोला बाहागोआ मोनसे गुदुङाव हाबलांनायजों थाफानाय जेराव जोबोर गोबाङै दानखनाय साजायनाय, गहेना, सावगारि दानखनाय आरो भमसुनि हाबाफोर आरो गोथआं साजायथि दं।"
"The tombstone of Akbar is placed in the centre of room Geometrical designs achieved by the mosaics of glazed tiles or of colored stones, predominate the tomb.",आकबनि अनथाय खाम्फाया भुमसुवारि साजायथि नʼनि मिरुवाव आयनाजों ग्रोब अरजाबनाय एबा गाबगोनां अनथायफोरजों गोख्रैयै खाम्फाजों दोनजादों।
The use of an ornamental arch and square pillar has brought about unique composition.,मोनसे बेंखनारि गहेना आरो बर्ग खुन्थिया बाहायनाया गोरोबथाय दाथाइ सोरजिदों।
The fifth storey is entirely in white marble as against the lower storey which is finished in red sandstone.,गाहाय दनाखरथाइ खोन्दो जाय गोजा बाला अनथाइजों फोजोबजादों बेनि उलथाफारसे बाथि दानथʼथाइ खोन्दोआ गुफुर मार्बलाव फुरायै दं।
"False gateways, which may be appropriately called water pavilions, have been constructed in the centre of the north and south sides.","नंखाय गेटलामाफोर, जायफोरखौ गोरोबजाथाव दैनि गेलेथिलि बुंजायो, सा आरो खोला दिगनि मिरु बाहागोआव बानायजादों।"
"The shallow water channels, which originally took water from two overhead tanks situated on the riverside, run on all sides of the garden and around the mausoleum pictures of Taj Mahal.","दै सुजाबफोरनि थोलै दैफोर, जायफोरनिखि दैमासैराव थानाय गोजौनि मोननै फख्रिनिफ्राय गुदियै दै राननाय जायो, बिबारबारिनि फारफ्रोमथिंबो आरो आरो ताजमहलनि सावगारिफोरखौ गिदिरै नायग्रा खुन्थियासिम गोसारना दं। ताजमहलनि सलʼआ मोजां मोननायनि गोसारथिखौ रिफिहोयो।"
The story of Taj Mahal reflects the intensity of love.,ताज महलनि सलʼआव अनथायनि नेरसोनथिया आबुङै बेरखांदों।
Akbar invited the architects and artisans all over the world and planned for the building with absolute perfection.,आकबरा फुरा जौगाखां बिल्डिं बानायनायनि थांखियै गासै बुहुमावनो बानायनायनि बोसोरगिरिफोर आरो मिस्त्रिफोर हांख्राइहरदोंमोन।
Taj Mahal was structured in Persian style combined with carvings of artisans called from Afghanistan and the garden designers from Kashmir.,ताज महलआ लेंहरजानाय आफगानिस्तान आरो काश्मिरनि बिबारबारि साजायगिरिफोर मिस्त्रिफोरनि खौसेयै दानखʼनायजों पार्सियान महराव साजायजादोंमोन।
The carvings of Taj Mahal were decorated with very precious gemstones.,ताजमहलनि दानखʼथाइफोरा जोबोद बेसेनगोसा जोंखोल माखोल अनथाइफोरजों साजायजादोंमोन।
Taj Mahal is an evidence that how the emotions and feelings are important to human life.,ताजमहला मोनसे मोथायथि दि माबोरै आबेग आरो मोनदांथिफोरा मानसिनि जिउवा गोनांथार।
The story of Taj Mahal is an example of devotion and faith.,ताजमहलनि सलʼवा सिबिनाय आरो फोथायनायनि बिदिन्थि।
The story of Taj Mahal is a love story not found in papers but stands in the structural form.,ताजमहलनि सलʼवा अनथायनि सलʼ बेखौ दाथायारि महराव मोनोब्लाबो थुनलायारि महराव मोननो थाङा।
"The ceiling of the verandah is painted with trees, birds, beast and geometric design.","खामसालिनि मुदायाव बिफां, दाव आरो भुमसुवारि महरजों सावगारि एरनाय दं।"
"The doorway shows a row of eight Buddhas surrounded by female guardians, river gooses, and scrollwork and lotus petals.",हाबग्रा दरखहा दिन्थियो आयजो गाहाय दैमानि हांसोफोर आरो मुसुखा बेंनाय आरो फारि बिबारनि फायलिजों बेंथेजानाय सिरियै सा दाइन बुध्यखौ।
One of the most perfectly executed rock cut Chaityas with elaborately carved interiors.,बियो मोनसे रोखोमनि समायनायै दानखजानाय अन्थाइनि खाम्फा।
On the left wall is a fragment of a painting showing the Buddha preaching to the congregation?,आगसि इन्जुरनि बायखोन्दा बाहागोआव गोबां बुध्द बोसोनथिनि धोरोमारि सावगारि एरनाय नुनो मोनो।
"Above the side shrines of the verandah are carved Hariti, the goddess of prosperity, and her attendants to the right, and a court of Naga, the serpent king to the left Excavated at a higher level, this small monastery with a narrow verandah has four unfinished cells.","खामसालिनि सायाव आनथायाव दानखʼनाय जादों धोननि मादाइजो हरितिनि मुसुखा आरो बेनि आगदा फारसे दं बिनि सिबिसुलाफोर, बेनि सा बाहागोआव दं नगाफरोनि गंसे बिजिरसालि, बे फिसा बौद्ध मन्दिरनि खामसालियाव दं मोनब्रै जाफुंसारै खथा।  "
"On the right wall of the shrine are painted the seven Manushi Buddhas with Maitreya, under their respective Bodhi Trees.",आगदानि इनजुर गोथार जाथायाव सा स्नि मनुसि बुध्यफोरजों मित्रिय बिसोर साफ्रोमनिबो गाहायाव बिधि बिफांनि सावगारि बोननाय नुयो।
The interior of this Chaitya Hall is decorated with carved Buddha figures.,सत्य ननि सिङावनि बाहागोआ बुध्दनि दानखʼनाय महरजों साजायजादों।
The focal Stupa has an image of the Master seated in a pavilion.,गोजों स्तुपआव दिन्थिगुखफोरा गंसे सायना सिङाव दिरायनायनि मोनसे सायखं दं।
"The two narrative scenes on the left wall show the temptation by Mara, the god of passion, and a colossal carved figure of the reclining Buddha, depicting his ultimate salvation from the cycle of rebirth the Mahaparinirvana.","आगसिथिं जाय थानाय इनजुराव माराजों जौगाखां होजानाय मोननै फुवारथाय नुथाइफोरा दिन्थियो, इसोरखौ मोजां मोनहाबनाय आरो बायफेनाय दानखʼनाय महरा बुध्दुनि गोग्लैसोना थानाय, बिनि जोबथि रैखाथि गिदिंनानै फिन जोनोम मोनफिननाय गेदेर निबनि मोननायनि लोबोनाय।"
"The ancient artists of Ajanta covered the rough walls with a layer of mud and cow dung, mixed with straw or animal hair as a binding medium.","अजन्तानि गोदोनि मित्रिफोरा हाब्रु आरो गोबोरजों, जिगाब एबा जुनारनि खोमोनजों थि रुजु जखायाव गोरोबहोनानै गोरा इनजुराव मोनसे थोरफो साग्रोबहोदोंमोन।"
The paintings in the Ajanta caves are often mistakenly referred to as frescoes.,अजन्ता खरफोरनि सावगारि आखिनायफोरा थाबैनो गोरोन्थियै फ्रेसकʼस होननानै फोरमायथि जायो।
A fresco refers to the application of colors to moist lime plaster.,मोनसे फ्रेस्कʼआ फोरमायथियौ गुरै सिमेन्ट प्लास्टाराव गाबफोरनि बाहायनाय।
"At Ajanta, the paintings were done on dry wall.","अजन्तायाव, गोरान इन्जुरफोराव सावगारि एरनाय जादोंमोन।"
"According to an ingenious theory, the depression in the floor of the main chambers, a feature of all caves, was filled with water, which caught the few rays that did reach into the darkness.","नायबिजिरगिरि सानथौ बादिब्ला गाहाय थाग्रा नʼनि बारान्दानिफ्राय नायरहरजानाय गासै खरंआ मोनसे आखउथाय, दैजों साग्लोबनाय, जायनोखि खायसे रोदाफोरा खोमसि जायगासिम सौहैदोंमोन।"
Another amazing fact about the paintings of Ajanta is that they were done in extremely poor light in the caves.,"अजन्तानवि सावगारि एरखांनायफोरनि गुबुन मोनसे गोमोथाव बाथ्राय बेनोदि, बेफोरो रुजुथावै फिसायै बानाय जादों।"
